DEPTH	CALI	CORE_POR	DT	GR	LLD	LLS	MSFL	NPHI	RHOB	CORE_KH	CORE_KV	MD_m	RFT	TVDSS	UTME	UTMN
1231.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.411621	-999.25	1220.71167	400940.5938	87050.89844
1231.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.511597	-999.25	1220.811646	400940.5938	87050.89844
1231.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.611694	-999.25	1220.911743	400940.5938	87050.89844
1231.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.71167	-999.25	1221.011719	400940.5938	87050.89844
1231.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.811768	-999.25	1221.111816	400940.5938	87050.89844
1231.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1231.911743	-999.25	1221.211792	400940.5938	87050.89844
1232	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.011841	-999.25	1221.31189	400940.5938	87050.89844
1232.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.111816	-999.25	1221.411865	400940.5938	87050.89844
1232.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.211914	-999.25	1221.511963	400940.5938	87050.89844
1232.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.312012	-999.25	1221.612061	400940.5938	87050.89844
1232.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.411987	-999.25	1221.712036	400940.5938	87050.89844
1232.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.512085	-999.25	1221.812134	400940.5938	87050.89844
1232.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.612061	-999.25	1221.912109	400940.5938	87050.89844
1232.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.712158	-999.25	1222.012207	400940.5938	87050.89844
1232.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1232.812134	-999.25	1222.112183	400940.5938	87050.89844
